id,time,Head_x,Head_y,Head_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristLeft_x,WristLeft_y,WristLeft_z,WristRight_x,WristRight_y,WristRight_z,HandLeft_x,HandLeft_y,HandLeft_z,HandRight_x,HandRight_y,HandRight_z,Spine_x,Spine_y,Spine_z,HipCenter_x,HipCenter_y,HipCenter_z,HipLeft_x,HipLeft_y,HipLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootLeft_x,FootLeft_y,FootLeft_z,FootRight_x,FootRight_y,FootRight_z
1,313501858,0.081345864,0.70512557,2.370619535,0.067595571,0.505761623,2.43605113,-0.108340658,0.426659882,2.5018363,0.238836914,0.398422211,2.451743364,-0.199051872,0.229758337,2.530600548,0.33957687,0.16151008,2.449547768,-0.232310876,0.072335184,2.356222868,0.364902198,0.053595722,2.254885674,-0.221338511,-0.003724679,2.228591204,0.373341203,0.009709342,2.157904625,0.070326328,0.159705028,2.450688124,0.069138482,0.090590976,2.444845438,-0.007483311,0.013535319,2.447280169,0.146404624,0.011506606,2.441376925,-0.06399101,-0.472286493,2.360204458,0.17388998,-0.462248355,2.436168194,-0.068497732,-0.868604064,2.395436049,0.127960235,-0.869259357,2.45754385,-0.096994616,-0.942640066,2.366945505,0.13533324,-0.959191084,2.421144247
2,313501861,0.08605586,0.701839566,2.375249624,0.071610898,0.503944039,2.441683054,-0.103924714,0.426151395,2.507287979,0.242829502,0.398827583,2.460743904,-0.199595243,0.235715076,2.536035776,0.340826392,0.160227731,2.459022045,-0.238884196,0.102162503,2.381413698,0.369704396,0.029166386,2.309312344,-0.228662968,0.047673963,2.294070721,0.370932162,0.010759024,2.16950798,0.072434224,0.158314586,2.455725908,0.071113497,0.089285009,2.450437307,-0.005709198,0.012475798,2.451522827,0.147771835,0.010258048,2.448185682,-0.063195571,-0.474193245,2.367823601,0.177008793,-0.465411693,2.440103054,-0.070853658,-0.882607579,2.424310923,0.129553467,-0.861121655,2.460426807,-0.11035978,-0.951951265,2.395103455,0.136100143,-0.956918657,2.421962738
3,313501865,0.093973324,0.696548164,2.382065773,0.07603009,0.503768921,2.449733257,-0.099216305,0.42723912,2.511036873,0.247908622,0.394635797,2.468111992,-0.202812254,0.249000281,2.543663502,0.316501439,0.201467723,2.495069265,-0.24002409,0.110792831,2.384103775,0.362556159,0.069058761,2.351846695,-0.224889666,0.034353241,2.234494448,0.369732201,0.01093645,2.173198938,0.074020699,0.157554969,2.460887671,0.072403826,0.088542327,2.455316782,-0.004907163,0.012192187,2.454461575,0.148634389,0.008939247,2.454090595,-0.064483792,-0.475048244,2.37297368,0.178188831,-0.46264264,2.440928221,-0.075590543,-0.881799281,2.446254492,0.130424038,-0.855813861,2.460172892,-0.113813281,-0.951310277,2.410198689,0.137065247,-0.952705979,2.423434973
4,313501868,0.097639769,0.698529422,2.38801384,0.078599945,0.505038261,2.454699039,-0.094033055,0.428429306,2.514696836,0.249422729,0.394638062,2.473357677,-0.204192549,0.262950003,2.545449257,0.336156279,0.153103456,2.483285666,-0.243895099,0.127546266,2.380183935,0.36675936,0.040526018,2.318248749,-0.230118275,0.053378798,2.230538607,0.368846595,0.011307982,2.179772615,0.074512996,0.157436863,2.464540482,0.072583675,0.08824826,2.458788157,-0.004580621,0.012449044,2.457386017,0.147911012,0.00896458,2.457565784,-0.066334262,-0.476201206,2.379610777,0.178427741,-0.461812079,2.440954924,-0.085219845,-0.883569241,2.460924387,0.130536065,-0.855836868,2.460196257,-0.118037492,-0.955889106,2.425613642,0.138152704,-0.953156292,2.423737049
5,313501871,0.098854139,0.698525906,2.391659737,0.082256705,0.505650461,2.46102953,-0.090978935,0.432341576,2.519674778,0.250248075,0.393520653,2.476886749,-0.208565474,0.279969215,2.546786308,0.336916924,0.15136081,2.484424114,-0.253663629,0.157953233,2.378668308,0.36654973,0.038804524,2.318943977,-0.238688305,0.084306851,2.226516724,0.368608296,0.011382641,2.183257103,0.075163431,0.157768041,2.468989372,0.072669297,0.088598654,2.462653637,-0.004723084,0.013231426,2.460104465,0.147150695,0.009159995,2.461922169,-0.069805235,-0.476877332,2.389125824,0.178176746,-0.462304175,2.440862179,-0.089353502,-0.882907391,2.467111349,0.130681649,-0.855320811,2.45987463,-0.121218495,-0.960187912,2.440813065,0.138856187,-0.952670634,2.422574043
6,313501875,0.106184751,0.702510715,2.405215025,0.083695993,0.507679403,2.467576027,-0.089570627,0.433648914,2.522499561,0.251988888,0.393470913,2.485675335,-0.22914882,0.253384262,2.55699563,0.337471426,0.149738729,2.489157915,-0.247217283,0.162761301,2.300862074,0.356630564,0.055372037,2.29355979,-0.244340479,0.120080344,2.216590643,0.367813408,0.010818906,2.187407255,0.074738085,0.158519,2.473279476,0.072048858,0.089250669,2.465889215,-0.005709436,0.014150986,2.462418079,0.146277845,0.009622489,2.465043068,-0.07297349,-0.476469159,2.401232481,0.175058544,-0.459626317,2.439460754,-0.091913283,-0.883363247,2.470288515,0.130641475,-0.854961812,2.460011005,-0.121675581,-0.960389793,2.441449165,0.13928856,-0.95218116,2.421621561
7,313501878,0.108668149,0.704621136,2.409453154,0.085116707,0.50925827,2.470592499,-0.087048262,0.437647283,2.526051998,0.25420478,0.397733688,2.497439384,-0.252173841,0.288121164,2.543964148,0.335471123,0.151249871,2.492536068,-0.257599533,0.197391719,2.286790848,0.349925578,0.051617675,2.315341473,-0.251782417,0.165929839,2.196642876,0.366760343,0.011127634,2.193341732,0.074398451,0.160156772,2.476886988,0.071512595,0.090899095,2.468972683,-0.006375105,0.016234254,2.465083122,0.144879878,0.011267644,2.468491554,-0.075817317,-0.476791143,2.414882421,0.171707109,-0.461506367,2.438150167,-0.093748488,-0.884172559,2.474473953,0.131027013,-0.855727196,2.460755348,-0.122399032,-0.960319996,2.442329168,0.139566138,-0.952765942,2.421163559
8,313501881,0.111605771,0.707997918,2.419267178,0.084766328,0.512016594,2.474952221,-0.086807869,0.441680551,2.530281544,0.256403595,0.399179459,2.504833698,-0.231939778,0.32208699,2.546022177,0.332760096,0.150798708,2.49667573,-0.245123357,0.239005134,2.286347628,0.348716497,0.058384228,2.304077387,-0.250893772,0.207394421,2.200814247,0.364662737,0.011669141,2.196699381,0.072375052,0.163062185,2.481515169,0.069135442,0.093851328,2.47305274,-0.009800207,0.019606963,2.468620539,0.142673969,0.012862477,2.472336054,-0.081306875,-0.477103472,2.427698135,0.164985836,-0.4568699,2.434937716,-0.096044362,-0.882550299,2.477631569,0.129315466,-0.861599922,2.460762024,-0.122676134,-0.960894465,2.445443869,0.140119508,-0.956225514,2.419487238
9,313501885,0.115992561,0.704256654,2.424794436,0.084073983,0.512001991,2.478757143,-0.085779458,0.444132,2.532146454,0.253928065,0.396113485,2.509572983,-0.237715155,0.334379494,2.549925804,0.329817176,0.147666126,2.501244307,-0.256902933,0.28203243,2.282407522,0.34814623,0.058252841,2.303996325,-0.263298869,0.264583409,2.197629929,0.361423731,0.012042174,2.199645042,0.070051812,0.163131088,2.484715939,0.066452287,0.09399011,2.475534439,-0.012169467,0.020727534,2.470552206,0.138290718,0.01294749,2.475183487,-0.08523047,-0.469471812,2.435264587,0.15813835,-0.452294737,2.431979895,-0.096698277,-0.88009578,2.482532978,0.129141897,-0.858146012,2.459975243,-0.124404818,-0.962083876,2.44575882,0.139913902,-0.955094874,2.419338465
10,313501888,0.116622858,0.705239654,2.429889441,0.083056122,0.513581276,2.483072281,-0.089353085,0.448950171,2.538079977,0.25352186,0.395296693,2.514442921,-0.239914387,0.335536569,2.550625086,0.328039527,0.146380946,2.503745556,-0.26253137,0.320189983,2.317557096,0.347488135,0.057692584,2.304357052,-0.272271335,0.313359439,2.252448559,0.35793066,0.012394163,2.201592207,0.066685505,0.166067049,2.489282846,0.062422242,0.097304434,2.479478598,-0.018174922,0.02521579,2.47550106,0.135157645,0.014030222,2.47744894,-0.090678215,-0.462442815,2.441991329,0.15398106,-0.450162649,2.430494547,-0.097991019,-0.878628016,2.484657764,0.129020706,-0.857645631,2.459882736,-0.12463066,-0.962153256,2.445871115,0.140137002,-0.954989612,2.419349194
